ID;checking_status;credit_history;duration;credit_amount;installment_commitment;residence_since;age;existing_credits;num_dependents;class
927;<0;critical/other existing credit;18;1049;4;4;21;1;1;good
928;<0;existing paid;48;10297;4;4;39;3;2;bad
929;no checking;existing paid;30;1867;4;4;58;1;1;good
930;<0;delayed previously;12;1344;4;2;43;2;2;good
931;<0;existing paid;24;1747;4;1;24;1;1;good
932;0<=X<200;existing paid;9;1670;4;2;22;1;1;bad
933;no checking;critical/other existing credit;9;1224;3;1;30;2;1;good
934;no checking;critical/other existing credit;12;522;4;4;42;2;2;good
935;<0;existing paid;12;1498;4;1;23;1;1;good
936;0<=X<200;delayed previously;30;1919;4;3;30;2;1;bad
937;>=200;existing paid;9;745;3;2;28;1;1;bad
938;0<=X<200;existing paid;6;2063;4;3;30;1;1;good
939;0<=X<200;existing paid;60;6288;4;4;42;1;1;bad
940;no checking;critical/other existing credit;24;6842;2;4;46;2;2;good
941;no checking;existing paid;12;3527;2;3;45;1;2;good
942;no checking;existing paid;10;1546;3;2;31;1;2;good
943;no checking;existing paid;24;929;4;2;31;1;1;good
944;no checking;critical/other existing credit;4;1455;2;1;42;3;2;good
945;<0;existing paid;15;1845;4;1;46;1;1;good
946;0<=X<200;no credits/all paid;48;8358;1;1;30;2;1;good
947;<0;all paid;24;3349;4;4;30;1;2;bad
948;no checking;existing paid;12;2859;4;4;38;1;1;good
949;no checking;existing paid;18;1533;4;1;43;1;2;bad
950;no checking;existing paid;24;3621;2;4;31;2;1;bad
951;0<=X<200;critical/other existing credit;18;3590;3;3;40;3;2;good
952;<0;delayed previously;36;2145;2;1;24;2;1;bad
953;0<=X<200;existing paid;24;4113;3;4;28;1;1;bad
954;no checking;existing paid;36;10974;4;2;26;2;1;bad
955;<0;existing paid;12;1893;4;4;29;1;1;good
956;<0;critical/other existing credit;24;1231;4;4;57;2;1;good
957;>=200;critical/other existing credit;30;3656;4;4;49;2;1;good
958;0<=X<200;critical/other existing credit;9;1154;2;4;37;3;1;good
959;<0;existing paid;28;4006;3;2;45;1;1;bad
960;0<=X<200;existing paid;24;3069;4;4;30;1;1;good
961;no checking;critical/other existing credit;6;1740;2;2;30;2;1;good
962;0<=X<200;delayed previously;21;2353;1;4;47;2;1;good
963;no checking;existing paid;15;3556;3;2;29;1;1;good
964;no checking;existing paid;24;2397;3;2;35;2;1;bad
965;0<=X<200;existing paid;6;454;3;1;22;1;1;good
966;0<=X<200;existing paid;30;1715;4;1;26;1;1;good
967;0<=X<200;critical/other existing credit;27;2520;4;2;23;2;1;bad
968;no checking;existing paid;15;3568;4;2;54;1;1;good
969;no checking;existing paid;42;7166;2;4;29;1;1;good
970;<0;critical/other existing credit;11;3939;1;2;40;2;2;good
971;0<=X<200;existing paid;15;1514;4;2;22;1;1;good
972;no checking;existing paid;24;7393;1;4;43;1;2;good
973;<0;all paid;24;1193;1;4;29;2;1;bad
974;<0;existing paid;60;7297;4;4;36;1;1;bad
975;no checking;critical/other existing credit;30;2831;4;2;33;1;1;good
976;>=200;existing paid;24;1258;3;3;57;1;1;good
977;0<=X<200;existing paid;6;753;2;3;64;1;1;good
978;0<=X<200;delayed previously;18;2427;4;2;42;2;1;good
979;no checking;delayed previously;24;2538;4;4;47;2;2;bad
980;0<=X<200;all paid;15;1264;2;2;25;1;1;bad
981;0<=X<200;critical/other existing credit;30;8386;2;2;49;1;1;bad
982;no checking;existing paid;48;4844;3;2;33;1;1;bad
983;>=200;existing paid;21;2923;1;1;28;1;1;good
984;<0;existing paid;36;8229;2;2;26;1;2;bad
985;no checking;critical/other existing credit;24;2028;2;2;30;2;1;good
986;<0;critical/other existing credit;15;1433;4;3;25;2;1;good
987;>=200;no credits/all paid;42;6289;2;1;33;2;1;good
988;no checking;existing paid;13;1409;2;4;64;1;1;good
989;<0;existing paid;24;6579;4;2;29;1;1;good
990;0<=X<200;critical/other existing credit;24;1743;4;2;48;2;1;good
991;no checking;critical/other existing credit;12;3565;2;1;37;2;2;good
992;no checking;all paid;15;1569;4;4;34;1;2;good
993;<0;existing paid;18;1936;2;4;23;2;1;good
994;<0;existing paid;36;3959;4;3;30;1;1;good
995;no checking;existing paid;12;2390;4;3;50;1;1;good
996;no checking;existing paid;12;1736;3;4;31;1;1;good
997;<0;existing paid;30;3857;4;4;40;1;1;good
998;no checking;existing paid;12;804;4;4;38;1;1;good
999;<0;existing paid;45;1845;4;4;23;1;1;bad
1000;0<=X<200;critical/other existing credit;45;4576;3;4;27;1;1;good
